,RT_war_P0,prop_war_RTs_P0,frequency_days_P0,nb_mentors_proukraine_P0,nb_mentors_prorussia_P0,Betweenness_centrality_P0,Closeness_centrality_P0,PageRank_P0,RT_war_P1,prop_war_RTs_P1,frequency_days_P1,nb_mentors_proukraine_P1,nb_mentors_prorussia_P1,Betweenness_centrality_P1,Closeness_centrality_P1,PageRank_P1,RT_war_P2,prop_war_RTs_P2,frequency_days_P2,nb_mentors_proukraine_P2,nb_mentors_prorussia_P2,Betweenness_centrality_P2,Closeness_centrality_P2,PageRank_P2,RT_war_P3,prop_war_RTs_P3,frequency_days_P3,nb_mentors_proukraine_P3,nb_mentors_prorussia_P3,Betweenness_centrality_P3,Closeness_centrality_P3,PageRank_P3,RT_war_P4,prop_war_RTs_P4,frequency_days_P4,nb_mentors_proukraine_P4,nb_mentors_prorussia_P4,Betweenness_centrality_P4,Closeness_centrality_P4,PageRank_P4,RT_war_P5,prop_war_RTs_P5,frequency_days_P5,nb_mentors_proukraine_P5,nb_mentors_prorussia_P5,Betweenness_centrality_P5,Closeness_centrality_P5,PageRank_P5,RT_war_P6,prop_war_RTs_P6,frequency_days_P6,nb_mentors_proukraine_P6,nb_mentors_prorussia_P6,Betweenness_centrality_P6,Closeness_centrality_P6,PageRank_P6,RT_war_P7,prop_war_RTs_P7,frequency_days_P7,nb_mentors_proukraine_P7,nb_mentors_prorussia_P7,Betweenness_centrality_P7,Closeness_centrality_P7,PageRank_P7,RT_war_P8,prop_war_RTs_P8,frequency_days_P8,nb_mentors_proukraine_P8,nb_mentors_prorussia_P8,Betweenness_centrality_P8,Closeness_centrality_P8,PageRank_P8,RT_war_P9,prop_war_RTs_P9,frequency_days_P9,nb_mentors_proukraine_P9,nb_mentors_prorussia_P9,Betweenness_centrality_P9,Closeness_centrality_P9,PageRank_P9,RT_war_P10,prop_war_RTs_P10,frequency_days_P10,nb_mentors_proukraine_P10,nb_mentors_prorussia_P10,Betweenness_centrality_P10,Closeness_centrality_P10,PageRank_P10,RT_war_P11,prop_war_RTs_P11,frequency_days_P11,nb_mentors_proukraine_P11,nb_mentors_prorussia_P11,Betweenness_centrality_P11,Closeness_centrality_P11,PageRank_P11,RT_war_P12,prop_war_RTs_P12,frequency_days_P12,nb_mentors_proukraine_P12,nb_mentors_prorussia_P12,Betweenness_centrality_P12,Closeness_centrality_P12,PageRank_P12,RT_war_P13,prop_war_RTs_P13,frequency_days_P13,nb_mentors_proukraine_P13,nb_mentors_prorussia_P13,Betweenness_centrality_P13,Closeness_centrality_P13,PageRank_P13,RT_war_P14,prop_war_RTs_P14,frequency_days_P14,nb_mentors_proukraine_P14,nb_mentors_prorussia_P14,Betweenness_centrality_P14,Closeness_centrality_P14,PageRank_P14
S564U,2.0,0.0067114093959731,0.0689655172413793,1.0,0.0,0.0,0.2053180747223157,0.0008091566612901,2.0,0.0052219321148825,0.0689655172413793,1.0,0.0,0.0,0.19859511499376,0.0006571230989283,6.0,0.0144230769230769,0.1379310344827586,1.0,0.0,0.0,0.2928359194453615,0.0004894599475972,48.0,0.0718562874251497,0.5172413793103449,2.0,0.0,0.0,0.320620992237597,0.0010000630704797,66.0,0.0832282471626734,0.8275862068965517,2.0,0.0,0.0,0.3229957109864731,0.0010805354143626,49.0,0.0850694444444444,0.7931034482758621,2.0,0.0,0.0,0.3346760657938906,0.0009722450797469,45.0,0.1004464285714285,0.6551724137931034,2.0,0.0,0.0,0.3404761904761905,0.000983184987265,29.0,0.069047619047619,0.5862068965517241,2.0,0.0,0.0,0.3362445414847161,0.0008490064487407,22.0,0.054054054054054,0.5517241379310345,1.0,0.0,0.0,0.3131090851933354,0.0009131336743308,13.0,0.0332480818414322,0.3793103448275862,1.0,0.0,0.0,0.3071184333229717,0.0006466447023065,11.0,0.03125,0.3448275862068966,2.0,0.0,0.0,0.3089763779527559,0.0006375416481091,10.0,0.0384615384615384,0.2758620689655172,2.0,0.0,0.0,0.3036944270507201,0.0007028300109739,5.0,0.0231481481481481,0.1379310344827586,2.0,0.0,0.0,0.3075699745547073,0.0004170471128436,10.0,0.0505050505050505,0.2758620689655172,1.0,0.0,0.0,0.3051066580478345,0.0006881348423821,9.0,0.0857142857142857,0.2413793103448276,1.0,0.0,0.0,0.3000672043010752,0.0009978211033325
S413U,3.0,0.0018691588785046,0.1034482758620689,0.0,2.0,0.0,0.2942595272551857,0.0006073748032297,3.0,0.0020675396278428,0.1034482758620689,0.0,2.0,0.0,0.3003001419833334,0.0003859473311195,10.0,0.0079744816586921,0.2758620689655172,0.0,4.0,0.00134991722904,0.3397165836844121,0.0004313494454986,19.0,0.0171325518485121,0.4827586206896552,0.0,4.0,0.0,0.3389225829468427,0.0004367898657773,24.0,0.0233690360272638,0.5517241379310345,0.0,4.0,0.0,0.3393414211438474,0.0004215953331065,20.0,0.0213903743315508,0.4482758620689655,0.0,3.0,0.0,0.336256323777403,0.0003669624552854,12.0,0.0111214087117701,0.2758620689655172,0.0,3.0,0.0,0.3352310783657066,0.0003224686585394,17.0,0.0128593040847201,0.3448275862068966,0.0,3.0,0.0,0.3333333333333333,0.0003694655004725,36.0,0.0262582056892779,0.5862068965517241,0.0,3.0,0.0,0.3329989969909729,0.0004832256169594,32.0,0.0292504570383912,0.5862068965517241,0.0,3.0,0.0,0.335256192738378,0.0005198688706969,21.0,0.0220588235294117,0.5862068965517241,0.0,4.0,0.0,0.3353846153846154,0.0004627080592988,26.0,0.0211210398050365,0.6896551724137931,0.0,5.0,0.0002576854588453,0.3356401384083045,0.0004753994952702,25.0,0.0183958793230316,0.5862068965517241,0.0,4.0,0.0,0.335065835065835,0.0004224758425338,29.0,0.0205527994330262,0.5862068965517241,0.0,4.0,0.0,0.3354655294953802,0.0004463162654941,18.0,0.0226415094339622,0.3448275862068966,0.0,3.0,0.0,0.3392857142857143,0.0004886220039774
S917U,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,2.0,0.1176470588235294,0.0689655172413793,1.0,0.0,0.0,0.2820349761526232,0.0002772769231059,10.0,0.1785714285714285,0.2068965517241379,2.0,0.0,0.0,0.3283788454891116,0.0003488646958096,14.0,0.1666666666666666,0.3448275862068966,2.0,0.0,0.0,0.328633769721383,0.0003686898665838,10.0,0.1639344262295081,0.2758620689655172,2.0,0.0,0.0,0.3227581741663969,0.0003408424480864,9.0,0.2,0.2413793103448276,2.0,0.0,0.0,0.3011432009626955,0.0003436106147046,6.0,0.1875,0.1724137931034483,2.0,0.0,0.0,0.2999700329637398,0.0003178997469569,5.0,0.25,0.1379310344827586,2.0,0.0,0.0,0.2963403748884261,0.0003347870923994,9.0,0.4285714285714285,0.2068965517241379,2.0,0.0,0.0,0.2910162002945508,0.0004906195452982,7.0,0.3181818181818182,0.1379310344827586,2.0,0.0,0.0,0.2852573422506542,0.0004543056250333,1.0,0.0384615384615384,0.0344827586206896,1.0,0.0,0.0,0.2585287846481876,0.0002132049828203,2.0,0.0714285714285714,0.0689655172413793,2.0,0.0,0.0017493390188579,0.2850825471698113,0.0002688467022142,1.0,0.0714285714285714,0.0344827586206896,1.0,0.0,0.0,0.2623679822123402,0.0002250159983478,1.0,0.25,0.0344827586206896,1.0,0.0,0.0,0.2544159544159544,0.0002690073728882
S963U,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,9.0,0.0059800664451827,0.0689655172413793,2.0,0.0,0.0,0.3117750439367311,0.0006504859592502,24.0,0.0057007125890736,0.3793103448275862,3.0,0.0,0.0,0.3391645840771153,0.000591201449843,27.0,0.0047385047385047,0.6206896551724138,3.0,1.0,0.0026055825501784,0.4547143520668834,0.0005433821956881,18.0,0.0031628887717448,0.4482758620689655,5.0,1.0,0.0248169168767731,0.4609338881183541,0.0004637674868797,17.0,0.0030875408645114,0.3793103448275862,6.0,0.0,0.0020023280880013,0.3539603960396039,0.0004851405026803,11.0,0.0018732970027247,0.3103448275862069,4.0,0.0,0.0001983279914462,0.3518453427065026,0.0004303302808059,5.0,0.0007799095304944,0.1724137931034483,2.0,0.0,0.0,0.3251714005876591,0.0003279360046795,8.0,0.0011651616661811,0.2068965517241379,2.0,0.0,0.0,0.3206751054852321,0.0004518274942534,6.0,0.0010296893770379,0.1379310344827586,2.0,0.0,0.0,0.31392,0.0004032260510536,1.0,0.0003037667071688,0.0344827586206896,1.0,0.0,0.0,0.295551492992078,0.0002065379043907,1.0,0.0005524861878453,0.0344827586206896,1.0,0.0,0.0,0.2995662949194547,0.0002051793179712,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,
S332U,3.0,0.0005430847212165,0.1034482758620689,0.0,2.0,0.0,0.2857142857142857,0.0006061158559683,7.0,0.0010004287551807,0.2413793103448276,0.0,4.0,0.0015923184944817,0.3507231166432275,0.0005890054158734,22.0,0.0030475135060257,0.4827586206896552,1.0,4.0,0.0183636081298495,0.4139057396173588,0.0007599076239531,32.0,0.0051405622489959,0.6551724137931034,1.0,3.0,0.0050243044356756,0.4212860310421286,0.0006289170827205,25.0,0.004232983406705,0.5862068965517241,0.0,2.0,0.0,0.3185811910185486,0.0004377852987225,28.0,0.0041518386714116,0.6206896551724138,1.0,3.0,0.006902000113541,0.4579696830500689,0.0004644703943222,23.0,0.0038805466509195,0.4827586206896552,1.0,2.0,0.0057928016014162,0.4621421975992613,0.0004846105168668,13.0,0.0031769305962854,0.2758620689655172,1.0,2.0,0.0056635415574228,0.4564523483812129,0.0003435309883435,12.0,0.0041580041580041,0.2758620689655172,0.0,2.0,0.0,0.3321107035678559,0.0002754619610053,9.0,0.0036674816625916,0.2413793103448276,0.0,2.0,0.0,0.3343485617597292,0.0002700647046826,7.0,0.00325430032543,0.2068965517241379,0.0,2.0,0.0,0.3163495646565624,0.0002707890049924,6.0,0.0028182245185533,0.1724137931034483,0.0,2.0,0.0,0.318241469816273,0.0002392135780308,18.0,0.0064771500539762,0.4482758620689655,0.0,3.0,0.0,0.334139599170698,0.0003565306235046,20.0,0.0059014458542342,0.5172413793103449,0.0,3.0,0.0,0.3323943661971831,0.0003678612176995,6.0,0.0033575825405707,0.1724137931034483,0.0,3.0,0.0037669460833657,0.3390280941533788,0.00028602511606
S792U,1.0,0.0005892751915144,0.0344827586206896,1.0,0.0,0.0,0.2807179015186378,0.0004822004379877,1.0,0.0005494505494505,0.0344827586206896,1.0,0.0,0.0,0.2875786695734488,0.000391637520664,13.0,0.0073446327683615,0.1724137931034483,4.0,1.0,0.0,0.3540918163672654,0.0008188220962532,22.0,0.0122973728339854,0.3793103448275862,4.0,2.0,2.183684446214605e-06,0.3850830968788001,0.0005618040013632,13.0,0.0076560659599528,0.3448275862068966,3.0,2.0,0.00298124393335,0.405047579644187,0.0003420221025425,8.0,0.0056980056980056,0.2413793103448276,2.0,1.0,0.0,0.4084391642769356,0.0002891582878131,8.0,0.0065520065520065,0.2068965517241379,3.0,0.0,0.0,0.3495111731843575,0.0003156901425292,7.0,0.0063063063063063,0.2068965517241379,3.0,0.0,0.0,0.3481739130434783,0.0003351358099275,7.0,0.0055335968379446,0.2068965517241379,3.0,0.0,0.0,0.3264503441494591,0.0004026774172129,5.0,0.0034083162917518,0.1724137931034483,3.0,0.0,0.0008268334967997,0.3227703364913427,0.0003486830699736,2.0,0.0014566642388929,0.0689655172413793,2.0,0.0,0.0006864203497234,0.3060842433697348,0.0002506534294192,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0005476451259583,0.0344827586206896,1.0,0.0,0.0,0.2995662949194547,0.0002051793179712,2.0,0.0008722197993894,0.0689655172413793,2.0,0.0,0.0027686171817263,0.3202170963364993,0.0002546781361284,1.0,0.0007022471910112,0.0344827586206896,1.0,0.0,0.0,0.2735906862745098,0.0002418663309287
S24U,4.0,0.0020253164556962,0.1379310344827586,0.0,3.0,0.0056069786333336,0.344438170525127,0.0006620302656379,6.0,0.0027210884353741,0.1724137931034483,0.0,4.0,0.0033536088361902,0.3496808488374526,0.0005336885690447,13.0,0.0062741312741312,0.3103448275862069,0.0,4.0,7.420980499433533e-05,0.3166726169225277,0.0005350615677154,21.0,0.0110352075669994,0.4482758620689655,0.0,4.0,0.0,0.319113201209271,0.0004995620126541,32.0,0.0158180919426594,0.6206896551724138,0.0,7.0,0.0047728511092945,0.338403041825095,0.0006633455174566,37.0,0.0164152617568766,0.6206896551724138,0.0,6.0,0.0020060180541624,0.3373942470389171,0.0006983431940705,27.0,0.0173745173745173,0.3448275862068966,0.0,4.0,0.0,0.3356807511737089,0.000553143141503,13.0,0.0167095115681233,0.2413793103448276,0.0,2.0,0.0,0.3170731707317073,0.0003441969710775,21.0,0.023728813559322,0.4827586206896552,0.0,4.0,0.0,0.3336683417085427,0.0003703483129307,24.0,0.0265780730897009,0.4827586206896552,0.0,4.0,0.0,0.3354838709677419,0.0004540443440457,14.0,0.0154015401540154,0.3103448275862069,0.0,4.0,0.0,0.335614095107766,0.0003605693966261,10.0,0.0103305785123966,0.3103448275862069,0.0,3.0,0.0,0.3342522398345968,0.0002780564586752,37.0,0.0432748538011695,0.5517241379310345,0.0,6.0,0.0,0.3357638888888888,0.0005864056174632,49.0,0.0540242557883131,0.6206896551724138,0.0,6.0,0.0,0.3364219529579472,0.0006877070453128,25.0,0.045045045045045,0.3103448275862069,0.0,5.0,0.0,0.3416220351951033,0.0006214600141112
S463U,3.0,0.0008271298593879,0.1034482758620689,0.0,2.0,0.0,0.3205465055176038,0.0005434084626058,7.0,0.0020951810835079,0.2068965517241379,0.0,2.0,0.0,0.3366741219851297,0.0005199767442572,10.0,0.0032446463335496,0.2758620689655172,0.0,3.0,0.0,0.3391969407265774,0.0004021073054372,15.0,0.0046569388388699,0.3793103448275862,0.0,4.0,0.0,0.3394069310468024,0.000367985431167,17.0,0.0057490700033818,0.4482758620689655,0.0,6.0,0.0008131080018261,0.341233879400488,0.0003404394411529,20.0,0.0084961767204757,0.4137931034482758,1.0,5.0,0.0008676191784564,0.4613604812586765,0.0003714828428532,13.0,0.0058532192705988,0.2068965517241379,1.0,3.0,0.0012291249424105,0.4642857142857143,0.0003308939645547,13.0,0.0070232306861156,0.2758620689655172,1.0,3.0,0.0122369711034183,0.4585432890517636,0.0003165230605693,14.0,0.0083333333333333,0.3448275862068966,0.0,2.0,0.0,0.3292561983471074,0.0002759195719362,10.0,0.0062150403977625,0.2413793103448276,0.0,2.0,0.0,0.3303243062520896,0.00026039831118,5.0,0.0031075201988812,0.1724137931034483,0.0,2.0,0.0,0.3315309226089895,0.0002184413637887,12.0,0.0051612903225806,0.2413793103448276,0.0,3.0,0.0,0.3299319727891156,0.0002991414400605,18.0,0.0068649885583524,0.4137931034482758,0.0,4.0,0.0,0.3346020761245675,0.0003432694782637,15.0,0.0067842605156037,0.4137931034482758,0.0,4.0,0.0,0.3330980945659845,0.0003064917376674,8.0,0.0068728522336769,0.2068965517241379,0.0,4.0,0.0026645058011263,0.34006092916984,0.000311244768352
S216U,28.0,0.0945945945945946,0.4482758620689655,0.0,1.0,0.0,0.3085483055134042,0.0019793886014076,60.0,0.1709401709401709,0.7931034482758621,0.0,1.0,0.0,0.3297550835136931,0.0023112532464962,61.0,0.1993464052287581,0.8275862068965517,0.0,1.0,0.0,0.3189500179791442,0.0013878418266957,75.0,0.2551020408163265,0.9310344827586208,0.0,1.0,0.0,0.3193277310924369,0.0010804557738954,87.0,0.348,0.896551724137931,0.0,1.0,0.0,0.3225700164744646,0.0009842424144093,87.0,0.3234200743494423,0.7586206896551724,0.0,1.0,0.0,0.3242276422764227,0.0010170218171106,74.0,0.2792452830188679,0.7241379310344828,0.0,1.0,0.0,0.3210391276459269,0.0011175924844082,123.0,0.4285714285714285,0.896551724137931,0.0,1.0,0.0,0.325316867078323,0.0015223871812965,174.0,0.5337423312883436,0.9655172413793104,0.0,1.0,0.0,0.3270935960591133,0.0016174028861495,137.0,0.3994169096209912,0.9310344827586208,0.0,1.0,0.0,0.3285666777519122,0.0015724948406122,132.0,0.3739376770538243,0.9310344827586208,0.0,1.0,0.0,0.3271090363454484,0.0017772208725957,131.0,0.4132492113564668,0.896551724137931,0.0,1.0,0.0,0.3252850435949027,0.0015448087966699,109.0,0.448559670781893,0.896551724137931,0.0,1.0,0.0,0.3255892255892256,0.0011999903081455,125.0,0.5122950819672131,0.9310344827586208,0.0,1.0,0.0,0.3261921216309606,0.0012642801482624,81.0,0.5094339622641509,0.5517241379310345,0.0,1.0,0.0,0.3324646314221891,0.0014593781013708
S358U,6.0,0.0033707865168539,0.1724137931034483,0.0,3.0,0.0019760074397138,0.3295515937331172,0.0007645747467161,13.0,0.012275731822474,0.3103448275862069,0.0,3.0,0.0,0.3462509238856385,0.0007294290379973,28.0,0.0314960629921259,0.5517241379310345,0.0,3.0,0.0,0.3379047619047619,0.0008007570758453,46.0,0.0440613026819923,0.7586206896551724,0.0,2.0,0.0,0.3339191564147627,0.0007683692395546,46.0,0.0552220888355342,0.8275862068965517,0.0,2.0,0.0,0.3340156943022859,0.00062745832589,26.0,0.0444444444444444,0.6206896551724138,0.0,2.0,0.0,0.3331105913798864,0.0004198958573099,17.0,0.0302491103202846,0.4482758620689655,0.0,2.0,0.0,0.3334443704197202,0.0003789045091943,27.0,0.044776119402985,0.6206896551724138,0.0,2.0,0.0,0.3320066334991708,0.0004705879627231,26.0,0.0499040307101727,0.6206896551724138,0.0,2.0,0.0,0.3321107035678559,0.000379187622588,15.0,0.056390977443609,0.3448275862068966,0.0,1.0,0.0,0.3285666777519122,0.0003072332958933,9.0,0.072,0.2068965517241379,0.0,1.0,0.0,0.3271090363454484,0.0002635089032278,7.0,0.0510948905109489,0.1724137931034483,0.0,2.0,0.0,0.333792154163799,0.0002357978376245,18.0,0.0590163934426229,0.3448275862068966,0.0,2.0,0.0,0.3336783988957902,0.0003398575957389,21.0,0.0554089709762532,0.3793103448275862,0.0,2.0,0.0,0.3316936050597329,0.0003578263183237,11.0,0.0611111111111111,0.1724137931034483,0.0,2.0,0.0,0.3374905517762661,0.0003591808649129
