,x_term,x_term_trans,y_term_proukraine,y_term_prorussia,x_final,y_proU_final,y_proR_final,cluster
S0U,-0.883150239076345,0.05842488046182748,0.4214419939295736,0.7523200024223807,0.2836141767443386,0.47361979700526075,0.5915414691619305,2
S1U,-1.0,0.0,0.0,0.9905386748862878,0.0,0.0,0.8249636253628766,1
S2U,-0.9713172650574213,0.014341367471289335,1.0,0.39920595654705593,0.19622554512685925,1.0,0.465988046714887,2
S3U,-1.0,0.0,0.0,0.9608139225962498,0.0,0.0,0.7439281551164815,1
S4U,-1.0,0.0,0.0,0.515573329309158,0.0,0.0,0.50519260271371,1
S5U,-1.0,0.0,0.0,0.735777166935637,0.0,0.0,0.5845252571078045,1
S6U,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
S7U,-0.9822417382530884,0.00887913087345582,1.0,0.5924299980454031,0.1719726206650107,1.0,0.5311280255047579,2
S8U,-1.0,0.0,0.0,0.9218664668052756,0.0,0.0,0.6948007670151006,1
S9U,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
S10U,-1.0,0.0,0.0,0.8707641040566616,0.0,0.0,0.6538284561362313,1
S11U,-1.0,0.0,0.0,0.9436706043386301,0.0,0.0,0.7190027328858875,1
S12U,-1.0,0.0,0.0,0.7795987529663224,0.0,0.0,0.6037488032945315,1
S13U,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
S14U,-1.0,0.0,0.0,0.9689535723254694,0.0,0.0,0.7589462430285758,1
S15U,-1.0,0.0,0.0,0.9898954532430738,0.0,0.0,0.8217434757512158,1
S16U,-0.9494430664232569,0.025278466788371534,0.723565409056325,0.5573631805042039,0.22839439022983904,0.5795043184966341,0.5191961804156471,2
S17U,-0.961462819112128,0.019268590443935973,1.0,0.5222550507177396,0.21249675630976636,1.0,0.5074227096631522,2
S18U,-1.0,0.0,0.0,0.867071268581625,0.0,0.0,0.6513781823949283,1
S19U,-0.9763041650321793,0.011847917483910342,1.0,0.5524596086930248,0.18625027814468972,1.0,0.5175439224647091,2
S20U,-1.0,0.0,0.0,0.4083657292958597,0.0,0.0,0.4691454637029419,1
S21U,-1.0,0.0,0.0,0.9375701932464183,0.0,0.0,0.7115826337200124,1
S22U,-1.0,0.0,0.0,0.5135350000534347,0.0,0.0,0.5045126466630934,1
S23U,-1.0,0.0,0.0,0.7776972965487658,0.0,0.0,0.602868697729461,1
S24U,-1.0,0.0,0.0,0.33305690381279474,0.0,0.0,0.4423910254067319,1
S25U,-1.0,0.0,0.0,0.8775116623377248,0.0,0.0,0.6584418214748703,1
S26U,-1.0,0.0,0.0,0.9117598328481764,0.0,0.0,0.6853433943762334,1
S27U,-1.0,0.0,0.0,0.9743796514758021,0.0,0.0,0.7707948329412139,1
S28U,-0.9332203589029477,0.03338982054852613,0.6989700043360187,0.5855481104595579,0.24566864640703284,0.569742173380174,0.5287674816042857,2
S29U,-0.9255742100776045,0.03721289496119773,1.0,0.2979317228851466,0.25267571037240666,1.0,0.42905148743141697,2
S30U,-1.0,0.0,0.0,0.5329542059078762,0.0,0.0,0.5109989078330802,1
S31U,-1.0,0.0,0.0,0.9383900921730507,0.0,0.0,0.7125458749233611,1
S32U,-1.0,0.0,0.0,0.5455119664148018,0.0,0.0,0.5152080706140107,1
S33U,-0.9013829613999372,0.049308519300031384,0.723565409056325,0.4150407362046702,0.2716308059816529,0.5795043184966341,0.47143401345443053,2
S34U,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
S35U,-1.0,0.0,0.0,0.35603602184886907,0.0,0.0,0.4507757204957812,1
S36U,-1.0,0.0,0.0,0.8992649777650414,0.0,0.0,0.674738281157323,1
S37U,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
S38U,-0.9678152643478538,0.016092367826073095,1.0,0.5530456554756935,0.2024482694904057,1.0,0.5177412244351967,2
