,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,cluster_kmeans
S19U,-0.8150448288755477,-0.8069904820430016,-0.7070106853648902,-0.7016917579766454,-0.6347012360827217,-0.657945883340882,-0.6779097229180122,-0.6972179207393511,-0.7164832808600637,-0.73398258257437,-0.7515965320893415,-0.7564157641449778,-0.7623930958729676,-0.7682517435336295,-0.7740811595288724,3
S28U,-1.0,-0.8064787399135704,-0.8050912448525981,-0.6583161775173842,-0.653625852813543,-0.5795431625687989,-0.5895501878461638,-0.6014908924282516,-0.6334587448692639,-0.6660896592287159,-0.6953774239633463,-0.7133137248953307,-0.7312991094073469,-0.7470302430385832,-0.761145635165222,3
S33U,-1.0,-0.8353365768479413,-0.5651642362760183,-0.5401175991832137,-0.5502021754859453,-0.564025105893355,-0.5994573589000495,-0.6250226649843997,-0.6471099637164496,-0.669609280792201,-0.6963613570341544,-0.7120398722795854,-0.7274783229710283,-0.7467158362258777,-0.7629569583227217,3
S46U,-0.8125293874967975,-0.8108233487093522,-0.6994421728227843,-0.6858336697040568,-0.6029206503044136,-0.6279519787832213,-0.6500325179117167,-0.665651153192683,-0.6809174320103832,-0.699679191055399,-0.7181019441178236,-0.7367303031858365,-0.7492896197679361,-0.7558329426727863,-0.7580403330058186,3
S49U,-0.8372174534007835,-0.6584841107089151,-0.6583370700087905,-0.5906721265745601,-0.6161937562621027,-0.6267468745345691,-0.6271392320922315,-0.6234774851119832,-0.6161101394568707,-0.6432775266966468,-0.671241171545241,-0.6973530789550741,-0.7092105324180394,-0.7207841453399416,-0.7431363310834785,3
S51U,-0.8114244167634921,-0.7936555004162188,-0.7063983531673022,-0.7036379420459659,-0.6277137216275906,-0.652931640826641,-0.6814713683968517,-0.6994582458865741,-0.7158976297937889,-0.7322035896745664,-0.7495307132506229,-0.7575831847798352,-0.7630692621893811,-0.7714103778439119,-0.7793586209146125,3
S56U,-0.8888214427082648,-0.9035440778486085,-0.7613610157324854,-0.7470547831395131,-0.7117342608438342,-0.7447439615600706,-0.7812466978178604,-0.790785164651171,-0.7991542259810929,-0.8065894146110313,-0.8104394764975498,-0.8227453355793428,-0.8417210982936725,-0.8553564662313775,-0.8624112155880428,3
S57U,-0.6,-1.0,-0.6612583224611901,-0.6511726401169186,-0.5847649714715457,-0.6102291194810241,-0.6403947154737938,-0.6623782535402176,-0.6810401552750238,-0.6990198076611198,-0.7159577997507525,-0.726661035621375,-0.738105942396997,-0.7596638774504899,-0.7747835164141448,3
S70U,-0.6,-0.7862200067473897,-0.6555688546725275,-0.6601005216798699,-0.6674250438017676,-0.5997382831931307,-0.6273077807874244,-0.6434774015418399,-0.6659244729333655,-0.6880862498565994,-0.7079306378130852,-0.7280031702093117,-0.7435784945906584,-0.7555455698349637,-0.7660292012572179,3
S78U,-0.8372174534007835,-0.8253340693128186,-0.7968548564323881,-0.706717390538822,-0.6980672544552815,-0.6070311322892513,-0.604600238561446,-0.6113364104652765,-0.6280362850833727,-0.6541874550325898,-0.6761913244781498,-0.6881288596822928,-0.7032265950174383,-0.7100169988343535,-0.7177433055491511,3
S101U,-0.6,-0.8278968693520696,-0.6282191225517214,-0.6089893394531806,-0.627809968176585,-0.570451440912394,-0.6083102097617374,-0.6433771389568289,-0.6675466345486745,-0.6840966236036311,-0.703834987947933,-0.7189474363128359,-0.727653194130844,-0.7351821274878038,-0.7445368245128666,3
S109U,-0.8278968693520696,-0.8039663713321284,-0.806381560237996,-0.7258466459063231,-0.7131232775448282,-0.6006007027292537,-0.5915668693430723,-0.6032969664853857,-0.6132788265612221,-0.6400176687629835,-0.6674425376929972,-0.679610419670865,-0.6642580779691952,-0.6884631008749638,-0.65992904896234,3
S116U,-0.8064787399135704,-0.7914285099170179,-0.6753793717539534,-0.6777201205121978,-0.6822422491980789,-0.6219014317713993,-0.6670072382783951,-0.6856548414521476,-0.6286619239965517,-0.6127958386362067,-0.6290124854082425,-0.6463119244576934,-0.6558624987672999,-0.6756208497538642,-0.698562472606429,3
S117U,-0.6291493673940565,-0.6144017357003051,-0.5521233091161977,-0.5909862854949398,-0.6229682355636941,-0.6517153806736726,-0.6847193346794697,-0.6273410968225624,-0.6215212086666192,-0.6119055550497524,-0.6417984133465474,-0.6596143531011329,-0.6789980006171229,-0.694790195264034,-0.7105142212459423,3
S121U,-0.8344076862465498,-0.8237590485184129,-0.8147460374664452,-0.7074964559837236,-0.6932017163895674,-0.6252999700587676,-0.653702286341503,-0.6795831044797673,-0.7023098091809223,-0.7267580961861327,-0.7534339258220817,-0.7691270983506031,-0.7746420131921806,-0.7809593916830584,-0.7900396283733127,3
S124U,-0.8030523940126586,-0.7781453883725118,-0.7822916146326219,-0.6801331136256146,-0.6810607975007545,-0.6151689093969233,-0.6495505055998256,-0.6790951621613395,-0.6988100143224747,-0.7126540678749889,-0.7259291144825022,-0.7273613639912296,-0.7333469466384821,-0.7465989840735927,-0.7609969161581764,3
S137U,-0.8030523940126586,-0.791165343645503,-0.6383681078466829,-0.6526524993107914,-0.5845884694749471,-0.6019726675600467,-0.6827942193292531,-0.6734601145502961,-0.5881490741189562,-0.574396439360539,-0.5833643482879677,-0.6087390484130846,-0.6372077202994357,-0.6630001334304193,-0.6831303713368924,3
S138U,-0.8790800308745241,-0.8664622595524578,-0.8447226485093501,-0.7424910097595421,-0.7329828151268553,-0.6724119947587518,-0.6960524638205069,-0.7185183989447236,-0.73807592004449,-0.7555293058307007,-0.7715055599951041,-0.7778672692735821,-0.7851399741091474,-0.790564109265373,-0.8033199132978838,3
S144U,-0.8292654310266203,-0.788439813073414,-0.672110686305585,-0.661016748070556,-0.5856628782831617,-0.6735420741188494,-0.6571352522683748,-0.6420349485558362,-0.5577784725209693,-0.5940101600564838,-0.623281308910488,-0.6381806881150249,-0.6557001200210559,-0.6741731240249498,-0.6952897453872471,3
S146U,-1.0,-0.5173909198324117,-0.6170369852783,-0.6060899265962056,-0.6065835626285649,-0.5604315972100526,-0.5962765618141406,-0.6429057357404718,-0.561500917368398,-0.512280508771692,-0.5231393999696057,-0.5626224368723356,-0.5934428956776497,-0.62246885145488,-0.6551856313553919,3
S154U,-1.0,-0.8372174534007835,-0.5841790157222696,-0.5426993264566049,-0.5731359663378349,-0.5401827804769037,-0.5840028348950408,-0.6045061091512547,-0.6248951910819025,-0.6429269486092359,-0.6580303941718688,-0.6761071678648114,-0.6931571530370727,-0.7104105033840946,-0.7254510572491697,3
S159U,-0.3121535324762468,-0.3121535324762468,-0.6060736587553018,-0.6271598542874888,-0.548893412099955,-0.5699886205932168,-0.5966128841420599,-0.6293103381716165,-0.6610059802440813,-0.6883339345572496,-0.7179264568422513,-0.7426683045527973,-0.7613096614075816,-0.7819402230900492,-0.799805142912529,3
