,RT_war,prop_war_RTs,frequency_weeks,nb_mentors_prorussia,nb_mentors_proukraine,Betweenness_centrality,Closeness_centrality,PageRank
S27U,875,0.2041054350361558,1.0,6.0,0.0,0.0016704902105958,0.344722598105548,0.0016053148916367
S77U,868,0.3048823322795925,1.0,1.0,0.0,0.0,0.3336607727570399,0.0015890027282478
S31U,855,0.207625060709082,1.0,4.0,0.0,0.0002838365605522,0.3417169684775318,0.0015761402812688
S161U,847,0.3791405550581916,1.0,1.0,0.0,0.0,0.3336607727570399,0.0015541169886175
S188U,834,0.3789186733303044,1.0,1.0,0.0,0.0,0.3336607727570399,0.0015325210545607
S163U,832,0.3419646526921496,1.0,1.0,0.0,0.0,0.3336607727570399,0.0015291986031673
S3U,794,0.1410051500621559,0.9629629629629628,5.0,0.0,0.0,0.3442567567567567,0.0014723601933714
S155U,767,0.0522230544018519,1.0,7.0,0.0,0.0,0.3454237288135593,0.001457326922271
S79U,756,0.2260089686098654,1.0,4.0,0.0,0.0,0.3417169684775318,0.0014161009887184
S216U,721,0.3364442370508633,0.9629629629629628,1.0,0.0,0.0,0.3336607727570399,0.0013448025508358
S162U,694,0.3221912720519962,1.0,1.0,0.0,0.0,0.3336607727570399,0.0012999494570254
S264U,688,0.1256162132554318,1.0,4.0,0.0,0.0004843959682634,0.3440243079000675,0.0012925198100827
S186U,667,0.2569337442218798,0.9629629629629628,1.0,0.0,0.0,0.3336607727570399,0.0012550963632151
S123U,653,0.3879976232917409,1.0,1.0,0.0,0.0,0.3336607727570399,0.0012318392034615
S44U,648,0.3594009983361065,1.0,1.0,0.0,0.0,0.3336607727570399,0.0012235330749781
S0U,635,0.0132255847374669,0.7407407407407407,8.0,4.0,0.0,0.4970731707317073,0.0012723222518203
S165U,625,0.1530737203036982,1.0,3.0,0.0,0.000696005214938,0.3405748663101604,0.0011861284735058
S8U,624,0.1019607843137254,1.0,5.0,0.0,0.0,0.3419463087248322,0.0011915157879414
S244U,618,0.1992263056092843,1.0,2.0,0.0,0.0,0.3380889183808891,0.001174709765292
S1U,618,0.2219030520646319,1.0,2.0,0.0,0.0,0.3380889183808891,0.0011743719448873
S6U,610,0.2589134125636672,0.8888888888888888,1.0,0.0,0.0,0.3336607727570399,0.0011604064985043
S21U,608,0.0982864532816036,1.0,4.0,0.0,0.0,0.3408026755852842,0.0011630976272279
S38U,601,0.0156828975523198,1.0,10.0,1.0,0.0,0.4833965844402277,0.0012622702590774
S7U,601,0.0147459332139264,1.0,8.0,1.0,0.0,0.4820245979186376,0.0012300427282727
S14U,593,0.2892682926829268,0.7407407407407407,2.0,0.0,0.0,0.3380889183808891,0.0011348682248989
S47U,577,0.1063398451898267,1.0,4.0,1.0,0.0059938325106197,0.4644484958979034,0.0011107664752013
S200U,576,0.0132624162464599,0.9629629629629628,8.0,0.0,0.0,0.3465986394557823,0.0011457906432354
S15U,572,0.1947565543071161,0.7407407407407407,2.0,0.0,0.0,0.3376408217362491,0.0010982114603235
S18U,552,0.0470829068577277,1.0,6.0,0.0,0.0,0.3421759570181329,0.0010779992265902
S43U,550,0.0605860321656752,0.8518518518518519,7.0,1.0,0.0007027172318853,0.4815689981096408,0.0011319582264835
S250U,545,0.0426547702903655,1.0,7.0,1.0,0.0003192545373039,0.4815689981096408,0.0010753568714758
S23U,545,0.0391382405745062,0.9629629629629628,6.0,0.0,0.0002401522721965,0.3421759570181329,0.0010807672524004
S121U,535,0.0165994415141172,0.925925925925926,8.0,1.0,0.0,0.4594229035166817,0.0011050179945263
S50U,529,0.1883232467070131,0.8888888888888888,2.0,0.0,0.0,0.3387632978723404,0.0010272435143545
S16U,528,0.0067836678058432,1.0,9.0,2.0,0.0032946645448905,0.496588693957115,0.0011030355182791
S11U,523,0.022530478611123,0.5185185185185185,4.0,0.0,0.0004117875358324,0.3408026755852842,0.0010204708191439
S67U,502,0.2262280306444344,1.0,2.0,0.0,0.0,0.3380889183808891,0.0009820075844771
S97U,483,0.0040270135067533,1.0,6.0,0.0,0.0,0.3424059139784946,0.0010122441015009
S61U,479,0.0101743877312602,0.9629629629629628,8.0,1.0,0.0,0.4820245979186376,0.0010317220400634
S56U,478,0.1755416819684171,1.0,5.0,1.0,0.0024726936536593,0.4005503144654088,0.0009531532383342
S5U,470,0.0252321898319643,0.8888888888888888,6.0,0.0,0.0,0.3430976430976431,0.000961168049763
S45U,463,0.1431221020092735,0.6666666666666666,3.0,0.0,0.0,0.3405748663101604,0.0009198404226235
S224U,460,0.1087470449172576,0.7777777777777778,3.0,0.0,0.0,0.3392143808255659,0.0009144230558621
S398U,453,0.1025118805159538,1.0,6.0,0.0,0.0,0.345189701897019,0.000908817007636
S217U,452,0.0207835203237079,0.8518518518518519,7.0,0.0,0.0,0.3454237288135593,0.0009140867595159
S159U,449,0.0116714322848973,0.7777777777777778,7.0,2.0,4.979031306438818e-06,0.4207266721717588,0.0009383467275337
S316U,448,0.028686687584043,0.9629629629629628,6.0,0.0,0.0002401522721965,0.3421759570181329,0.0009205396406762
S86U,441,0.0809768637532133,1.0,7.0,0.0,0.0007145113770176,0.3456580732700136,0.0008897359054766
S53U,433,0.0678045725023488,0.9629629629629628,6.0,0.0,0.0002338891735341,0.3424059139784946,0.0008836730491849
S382U,432,0.0356318046849224,1.0,6.0,2.0,0.0040531145837466,0.4884947267497603,0.0009028014876211
S19U,430,0.0081521223955864,1.0,7.0,1.0,0.0015874078356234,0.4802073515551366,0.0009296652928764
S93U,421,0.0078152555272977,1.0,8.0,0.0,0.0,0.3468345813478556,0.0009274925427912
S12U,416,0.0332454247582514,0.9629629629629628,6.0,0.0,0.0003364424483651,0.3421759570181329,0.0008592300174292
S48U,416,0.0127353436399816,1.0,8.0,0.0,0.0007461661268631,0.3458927359131025,0.0008912979903489
S138U,415,0.017712334613743,1.0,8.0,1.0,0.0029912261745075,0.4610859728506787,0.0008688994717136
S37U,411,0.43446088794926,1.0,1.0,0.0,0.0,0.3336607727570399,0.0008298225848649
S36U,406,0.0760584488572499,0.8888888888888888,3.0,0.0,0.0,0.3405748663101604,0.0008292504285904
S115U,400,0.008637256807238,0.925925925925926,9.0,0.0,0.0,0.3470708446866485,0.0008635097724971
S416U,395,0.0100493563323665,0.8148148148148148,7.0,1.0,0.0017942774969864,0.4636032757051865,0.0008393468122032
S148U,395,0.1608306188925081,1.0,5.0,1.0,0.0017845438587901,0.4806603773584905,0.0008153579865945
S55U,394,0.1872623574144486,1.0,2.0,0.0,0.0,0.3380889183808891,0.0008029330296404
S130U,387,0.0141452538469973,0.7037037037037037,7.0,3.0,0.008707259097455,0.4956225680933852,0.000854283851042
S262U,381,0.0373749264273101,1.0,6.0,0.0,0.0,0.345189701897019,0.0007989972149935
S225U,374,0.0181456503808645,0.8888888888888888,7.0,1.0,0.000823058235919,0.4820245979186376,0.0008257747360897
