,RT_vaccine_P0,prop_vaccine_RTs_P0,frequency_days_P0,nb_mentors_provax_P0,nb_mentors_antivax_P0,Betweenness_centrality_P0,Closeness_centrality_P0,PageRank_P0,RT_vaccine_P1,prop_vaccine_RTs_P1,frequency_days_P1,nb_mentors_provax_P1,nb_mentors_antivax_P1,Betweenness_centrality_P1,Closeness_centrality_P1,PageRank_P1,RT_vaccine_P2,prop_vaccine_RTs_P2,frequency_days_P2,nb_mentors_provax_P2,nb_mentors_antivax_P2,Betweenness_centrality_P2,Closeness_centrality_P2,PageRank_P2,RT_vaccine_P3,prop_vaccine_RTs_P3,frequency_days_P3,nb_mentors_provax_P3,nb_mentors_antivax_P3,Betweenness_centrality_P3,Closeness_centrality_P3,PageRank_P3,RT_vaccine_P4,prop_vaccine_RTs_P4,frequency_days_P4,nb_mentors_provax_P4,nb_mentors_antivax_P4,Betweenness_centrality_P4,Closeness_centrality_P4,PageRank_P4,RT_vaccine_P5,prop_vaccine_RTs_P5,frequency_days_P5,nb_mentors_provax_P5,nb_mentors_antivax_P5,Betweenness_centrality_P5,Closeness_centrality_P5,PageRank_P5,RT_vaccine_P6,prop_vaccine_RTs_P6,frequency_days_P6,nb_mentors_provax_P6,nb_mentors_antivax_P6,Betweenness_centrality_P6,Closeness_centrality_P6,PageRank_P6,RT_vaccine_P7,prop_vaccine_RTs_P7,frequency_days_P7,nb_mentors_provax_P7,nb_mentors_antivax_P7,Betweenness_centrality_P7,Closeness_centrality_P7,PageRank_P7,RT_vaccine_P8,prop_vaccine_RTs_P8,frequency_days_P8,nb_mentors_provax_P8,nb_mentors_antivax_P8,Betweenness_centrality_P8,Closeness_centrality_P8,PageRank_P8,RT_vaccine_P9,prop_vaccine_RTs_P9,frequency_days_P9,nb_mentors_provax_P9,nb_mentors_antivax_P9,Betweenness_centrality_P9,Closeness_centrality_P9,PageRank_P9,RT_vaccine_P10,prop_vaccine_RTs_P10,frequency_days_P10,nb_mentors_provax_P10,nb_mentors_antivax_P10,Betweenness_centrality_P10,Closeness_centrality_P10,PageRank_P10,RT_vaccine_P11,prop_vaccine_RTs_P11,frequency_days_P11,nb_mentors_provax_P11,nb_mentors_antivax_P11,Betweenness_centrality_P11,Closeness_centrality_P11,PageRank_P11,RT_vaccine_P12,prop_vaccine_RTs_P12,frequency_days_P12,nb_mentors_provax_P12,nb_mentors_antivax_P12,Betweenness_centrality_P12,Closeness_centrality_P12,PageRank_P12,RT_vaccine_P13,prop_vaccine_RTs_P13,frequency_days_P13,nb_mentors_provax_P13,nb_mentors_antivax_P13,Betweenness_centrality_P13,Closeness_centrality_P13,PageRank_P13,RT_vaccine_P14,prop_vaccine_RTs_P14,frequency_days_P14,nb_mentors_provax_P14,nb_mentors_antivax_P14,Betweenness_centrality_P14,Closeness_centrality_P14,PageRank_P14
S906V,67.0,0.1602870813397129,0.5862068965517241,0.0,5.0,0.0,0.336366818340917,0.000377344621183,61.0,0.1639784946236559,0.6206896551724138,0.0,5.0,0.0,0.3356377462841341,0.0003869805990176,62.0,0.1265306122448979,0.6896551724137931,0.0,6.0,0.000895652171602,0.3386411889596603,0.0004660633193029,64.0,0.1056105610561056,0.6206896551724138,0.0,5.0,0.0,0.3386569872958258,0.000497205845661,57.0,0.0964467005076142,0.5862068965517241,0.0,5.0,0.0,0.3421633554083885,0.0004846840623802,50.0,0.1,0.6206896551724138,0.0,5.0,0.0,0.3484198205228248,0.0005201368088435,33.0,0.0948275862068965,0.5862068965517241,0.0,4.0,0.0,0.3363211223694466,0.000451230493649,23.0,0.0638888888888888,0.4482758620689655,0.0,4.0,0.0,0.3400160384923817,0.0003582173943181,27.0,0.0656934306569343,0.4137931034482758,0.0,4.0,0.0,0.3601414052143172,0.0003877838055908,39.0,0.088235294117647,0.5862068965517241,0.0,5.0,0.0004021109665834,0.3690644099670898,0.0004957114032601,37.0,0.0612582781456953,0.6206896551724138,0.0,5.0,0.0002207345176737,0.3546734955185659,0.0004829409311153,51.0,0.0667539267015706,0.6206896551724138,0.0,6.0,0.0,0.3345780433159074,0.0005300268591344,62.0,0.0699774266365688,0.7241379310344828,0.0,6.0,0.0,0.3337061894108874,0.0005761386323352,49.0,0.0582639714625445,0.6896551724137931,0.0,5.0,0.0,0.3469785575048733,0.0004873364103967,39.0,0.0884353741496598,0.3793103448275862,0.0,5.0,0.0,0.3536110342972459,0.0006447657801171
S62V,40.0,0.0351802990325417,0.4137931034482758,3.0,2.0,0.0198832075222277,0.4667314230208839,0.0007469276627897,22.0,0.0270935960591133,0.3448275862068966,1.0,2.0,0.0,0.4116150911403137,0.0006812486138592,5.0,0.0033222591362126,0.1724137931034483,1.0,1.0,0.0,0.3369718309859155,0.0003205086400548,10.0,0.0023736055067647,0.2068965517241379,2.0,1.0,3.1049323025319174e-05,0.3576082790341127,0.0008371383618299,13.0,0.0022843085573712,0.2758620689655172,2.0,1.0,0.0,0.3740949316170555,0.0011177271197556,9.0,0.0015831134564643,0.2413793103448276,2.0,2.0,0.0035617754449629,0.3734838979506483,0.0009307822460708,5.0,0.0009082652134423,0.1379310344827586,1.0,2.0,0.0,0.3344961240310077,0.0005845197842383,2.0,0.000340773555972,0.0689655172413793,1.0,0.0,0.0,0.2343836373687119,0.0006609144914459,3.0,0.0004675081813931,0.1034482758620689,1.0,1.0,0.0,0.2920100322465066,0.0006812914318798,4.0,0.0005808044141135,0.1379310344827586,1.0,2.0,0.0059366782763866,0.3853706431026019,0.0004820526687499,4.0,0.000685166152792,0.1379310344827586,2.0,2.0,0.1577098089343265,0.4343962362780972,0.0005809426611611,3.0,0.0009126863401277,0.1034482758620689,2.0,1.0,0.1148970934223861,0.3440860215053763,0.0004376904754665,1.0,0.0005527915975677,0.0344827586206896,0.0,1.0,0.0,0.274203431372549,0.0001758159000803,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,
S76V,34.0,0.0441558441558441,0.6896551724137931,7.0,0.0,0.0006845490610294,0.3603299587551556,0.0010779699252154,16.0,0.0236336779911373,0.4482758620689655,5.0,0.0,0.0001972825528808,0.3501622791200866,0.0008357569467906,10.0,0.0175131348511383,0.3103448275862069,4.0,0.0,0.0,0.3209255533199195,0.0008435757164927,8.0,0.0119225037257824,0.2758620689655172,5.0,0.0,0.0002934946471577,0.3297985153764581,0.0008724401921158,6.0,0.009090909090909,0.2068965517241379,4.0,0.0,0.0001594892368451,0.3137651821862348,0.0007124661062653,3.0,0.0061855670103092,0.1034482758620689,3.0,0.0,0.0015183484983845,0.2907847606642787,0.0004742560648413,4.0,0.0113636363636363,0.1034482758620689,3.0,0.0,0.0005321546587763,0.288628762541806,0.0006832852935311,2.0,0.0133333333333333,0.0344827586206896,2.0,0.0,0.0009421084033088,0.2794990112063283,0.0005012067709764,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.00418410041841,0.0344827586206896,1.0,0.0,0.0,0.2713446249567922,0.0003490047971754,4.0,0.0120481927710843,0.1379310344827586,3.0,0.0,0.0010847536574064,0.2949946751863684,0.0008016952828935,3.0,0.0081967213114754,0.1034482758620689,3.0,0.0,0.0011907566663522,0.2922374429223744,0.0005334676496582,3.0,0.0063559322033898,0.0689655172413793,3.0,0.0,0.0011032446188573,0.2942143326758711,0.0004523006203464,8.0,0.0140350877192982,0.1724137931034483,3.0,0.0,0.0004148241335466,0.3005741303613644,0.0008670386355422,6.0,0.0188679245283018,0.1379310344827586,2.0,0.0,0.0,0.2897006725759883,0.0012712809382385
S136V,9.0,0.0426540284360189,0.2068965517241379,5.0,0.0,0.0042944813867564,0.358715938783128,0.0003998930130169,11.0,0.0371621621621621,0.3103448275862069,5.0,0.0,0.0006146556674008,0.3481534600215131,0.00062847657796,9.0,0.0233766233766233,0.3103448275862069,4.0,0.0,0.00098882633698,0.3162590879048249,0.000757327069235,3.0,0.0069930069930069,0.1034482758620689,1.0,0.0,0.0,0.2789237668161435,0.0004186854535618,2.0,0.0050251256281407,0.0689655172413793,2.0,0.0,0.0004055549438991,0.2751479289940828,0.0003452740961826,2.0,0.0082644628099173,0.0689655172413793,2.0,0.0,0.0005269777381654,0.2821484992101106,0.0003723261420918,1.0,0.0042194092827004,0.0344827586206896,1.0,0.0,0.0,0.2701941139636819,0.0002975918571183,6.0,0.0155844155844155,0.1379310344827586,2.0,0.0,0.0,0.2813536828135368,0.0009879126856617,6.0,0.0085106382978723,0.1379310344827586,2.0,0.0,0.0,0.2864674868189806,0.0010698927541744,3.0,0.0045592705167173,0.1034482758620689,3.0,0.0,0.0022979682594706,0.2804573061807788,0.0007338428732216,9.0,0.017578125,0.2413793103448276,5.0,0.0,0.0029800773672665,0.3101903695408735,0.0016448119801655,9.0,0.0160427807486631,0.2413793103448276,5.0,0.0,0.0026623647791673,0.3135059482155353,0.0012995724140035,6.0,0.0138248847926267,0.1724137931034483,4.0,0.0,0.0023731384388719,0.3140350877192982,0.0007587416545892,2.0,0.0079681274900398,0.0689655172413793,2.0,0.0,0.0043388863998331,0.2947996025173898,0.0003695821694554,0.0,0.0,0.0,0.0,0.0,,,
S251V,16.0,0.0126682501979414,0.3793103448275862,4.0,0.0,0.0002925852588924,0.3529195739992655,0.0005619769815406,8.0,0.0067739204064352,0.2413793103448276,2.0,0.0,0.0,0.3386815486571329,0.0004870728695315,3.0,0.0020576131687242,0.1034482758620689,2.0,0.0,0.0,0.3113207547169811,0.0003641778783358,5.0,0.0024425989252564,0.1724137931034483,3.0,0.0,0.0002155445398258,0.3165931455717679,0.0006181012515,6.0,0.0031039834454216,0.2068965517241379,2.0,0.0,0.0,0.2978859705317104,0.0007210162036109,2.0,0.0016220600162206,0.0689655172413793,1.0,0.0,0.0,0.2757023772769373,0.0004222432600311,1.0,0.0009057971014492,0.0344827586206896,1.0,0.0,0.0,0.2621506682867557,0.0002785937405304,1.0,0.0011049723756906,0.0344827586206896,1.0,0.0,0.0,0.2579075425790754,0.0003423795344022,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,
S978V,94.0,0.0704647676161919,0.896551724137931,0.0,8.0,0.0,0.3392163783974585,0.0004782569262045,72.0,0.0672897196261682,0.8620689655172413,0.0,8.0,0.0,0.3389179755671902,0.0004441633101823,49.0,0.0456663560111835,0.8275862068965517,0.0,9.0,0.0022980982007272,0.3405693950177936,0.0004103969266323,63.0,0.0364794441227562,0.8275862068965517,0.0,8.0,0.0,0.343646408839779,0.000501428891967,60.0,0.0339750849377123,0.7241379310344828,0.0,8.0,0.0,0.3444444444444444,0.0005074947037268,45.0,0.0226928895612708,0.5862068965517241,0.0,7.0,0.0,0.3517132729421032,0.0004963439276858,39.0,0.0173951828724353,0.6551724137931034,0.0,7.0,0.000237844348767,0.34967585089141,0.000517863689646,41.0,0.0210148641722193,0.7586206896551724,0.0,6.0,0.0,0.3560033585222502,0.0005155101025092,25.0,0.0185048112509252,0.5862068965517241,0.0,3.0,0.0,0.3330608908868002,0.0003834976146617,17.0,0.0219354838709677,0.4137931034482758,0.0,4.0,0.0,0.3690644099670898,0.0003278536237501,19.0,0.0220930232558139,0.4482758620689655,0.0,6.0,0.0072043028461067,0.3558886509635974,0.0003385812793621,23.0,0.0198446937014667,0.4827586206896552,0.0,6.0,0.0008556106671075,0.328928046989721,0.0003344582580951,34.0,0.0202020202020202,0.5862068965517241,0.0,6.0,0.0,0.3337061894108874,0.0003968368373331,32.0,0.024390243902439,0.5862068965517241,0.0,6.0,0.0015346712940597,0.3488827910623285,0.0003832938910545,13.0,0.0324189526184538,0.2413793103448276,0.0,5.0,0.0174757320566641,0.3621595111840227,0.0003505186245972
S823V,79.0,0.06523534269199,0.8620689655172413,0.0,7.0,0.0009720559060945,0.3384994716449454,0.0004161224749512,67.0,0.0635673624288425,0.8275862068965517,0.0,5.0,0.0002180699308946,0.3349430838220076,0.0004091660374254,51.0,0.0451327433628318,0.7931034482758621,0.0,4.0,0.0,0.3372093023255814,0.0004106177057067,58.0,0.0507880910683012,0.8275862068965517,0.0,3.0,0.0,0.3406352683461117,0.0004631791857979,61.0,0.0483743061062648,0.7931034482758621,0.0,4.0,0.0009371847147375,0.3362255965292842,0.0005019955002058,60.0,0.0481540930979133,0.7241379310344828,0.0,4.0,0.0,0.3478768991040125,0.0005832339345483,56.0,0.0327677004095962,0.7241379310344828,0.0,4.0,0.0006834540989264,0.3365834633385335,0.0006322478684957,92.0,0.0429705744978981,0.8275862068965517,0.0,5.0,0.0003105001226875,0.3389288569144684,0.0008589678475173,74.0,0.0493991989319092,0.7241379310344828,0.0,5.0,0.0046265588595158,0.3604599734630694,0.0007204643633763,39.0,0.0543933054393305,0.5862068965517241,0.0,6.0,0.0064766489372049,0.3697597739048516,0.0004882075428903,39.0,0.0534246575342465,0.5172413793103449,0.0,6.0,0.0005890566508833,0.355584082156611,0.0004925692280548,41.0,0.0427083333333333,0.7241379310344828,0.0,6.0,0.0037867224144309,0.3345780433159074,0.0004530412914994,26.0,0.0273972602739726,0.5862068965517241,0.0,3.0,0.0,0.3300147492625369,0.0003326732200622,8.0,0.0116788321167883,0.1724137931034483,0.0,2.0,0.0,0.3395650515070584,0.0002190568649219,2.0,0.0067796610169491,0.0689655172413793,0.0,2.0,0.0092745511408693,0.3463784386646655,0.0002154454152293
S830V,72.0,0.232258064516129,0.5517241379310345,0.0,1.0,0.0,0.329222336416581,0.0003912287893999,144.0,0.2002781641168289,0.9310344827586208,0.0,4.0,0.0009588851160715,0.335405872193437,0.0006994778705442,146.0,0.1145996860282574,0.9655172413793104,0.0,5.0,0.0001490987970115,0.3379237288135593,0.0008805647816483,146.0,0.0743002544529262,0.9655172413793104,0.0,4.0,0.0,0.3416331014280483,0.0009202957718289,154.0,0.0710987996306555,0.9655172413793104,0.0,6.0,0.0,0.3424153166421207,0.0010240797334622,152.0,0.0614389652384801,0.9655172413793104,0.0,6.0,0.0,0.3489644392340758,0.0012263574023681,139.0,0.0484658298465829,0.9655172413793104,0.0,8.0,0.0,0.34967585089141,0.0013289646444986,146.0,0.0596161698652511,1.0,0.0,8.0,0.0,0.3560033585222502,0.0012781972958005,161.0,0.0657411188240098,1.0,0.0,6.0,0.0,0.3633526526972804,0.0013691454370398,174.0,0.0704453441295546,1.0,0.0,7.0,0.0,0.3732762719923918,0.0015247285664802,143.0,0.0570175438596491,1.0,0.0,7.0,0.0002755343954596,0.3561937419631376,0.0013205921698121,137.0,0.0513493253373313,1.0,0.0,7.0,0.0,0.35,0.0011265236115344,144.0,0.0601755119097367,0.9655172413793104,0.0,7.0,0.0,0.3504306969459671,0.0010904418036521,135.0,0.0618131868131868,0.9655172413793104,0.0,6.0,0.0,0.3477921062915201,0.0010207753953823,90.0,0.073170731707317,0.5517241379310345,0.0,5.0,0.0007156531621348,0.3536110342972459,0.001213499327688
S777V,98.0,0.0117084826762246,0.896551724137931,0.0,9.0,0.0,0.3394560226068527,0.0004929277264503,67.0,0.0105678233438485,0.6896551724137931,0.0,8.0,0.0,0.3370357514751822,0.0004271800095617,30.0,0.009395552771688,0.4137931034482758,0.0,7.0,0.0001490987970115,0.3364978902953586,0.0003148508266838,22.0,0.0074855392990813,0.4482758620689655,0.0,8.0,0.0050396219966057,0.3438997419830446,0.0002835899184818,32.0,0.0084365937252834,0.6206896551724138,1.0,8.0,0.0080613043814757,0.3830313014827018,0.0004420817828057,38.0,0.0074305827141181,0.6896551724137931,1.0,9.0,0.0300600999572615,0.3870827915041179,0.0005469587019886,38.0,0.0058951287620229,0.6896551724137931,0.0,7.0,0.000210167679415,0.3435509554140127,0.0005218057388675,29.0,0.0045547353541699,0.5517241379310345,0.0,8.0,0.0,0.3563025210084034,0.0004269001446063,25.0,0.0043944454209878,0.5862068965517241,0.0,7.0,0.0002006713968497,0.3636769299419902,0.0003881861276374,37.0,0.007305034550839,0.7586206896551724,0.0,8.0,0.0,0.3736316039980961,0.000497192674186,39.0,0.0076500588466065,0.6896551724137931,0.0,8.0,0.0005677283941523,0.358653431160984,0.0005066893745803,48.0,0.0087735331749223,0.6896551724137931,0.0,8.0,0.0019394437417083,0.3502736512900704,0.0005146185096994,50.0,0.0081419964175215,0.6896551724137931,0.0,7.0,0.0,0.3504306969459671,0.0005028290548788,51.0,0.0086499321573948,0.7586206896551724,0.0,6.0,0.0,0.3477921062915201,0.0005074687505822,40.0,0.0129870129870129,0.5172413793103449,0.0,6.0,0.0,0.3542542558239348,0.0006635354846077
S699V,118.0,0.0442113150992881,0.8275862068965517,1.0,8.0,0.0021092781116927,0.445526193787668,0.0005697366140506,97.0,0.0469279148524431,0.8620689655172413,1.0,7.0,0.0056467143727732,0.4356213548676536,0.0005645914133791,41.0,0.0276653171390013,0.5862068965517241,0.0,6.0,0.0004089139399829,0.3386411889596603,0.0003624579445871,27.0,0.023356401384083,0.4137931034482758,0.0,3.0,0.0,0.3376764386536373,0.000301189966301,25.0,0.0261780104712041,0.4137931034482758,0.0,3.0,0.0,0.335740072202166,0.0003008952862285,22.0,0.0283505154639175,0.3448275862068966,0.0,3.0,0.0010527172010191,0.3473356670556203,0.0003201091468989,11.0,0.0165165165165165,0.2758620689655172,0.0,2.0,0.0,0.3355365474339036,0.0002637774835473,22.0,0.0243362831858407,0.4827586206896552,0.0,3.0,0.0,0.3397435897435897,0.0003411051871123,29.0,0.025460930640913,0.5517241379310345,0.0,3.0,0.0,0.3585569731632204,0.000394864505436,37.0,0.0365612648221343,0.5172413793103449,0.0,5.0,0.0006001994432585,0.3629218677762367,0.0004729347433018,41.0,0.0393096836049856,0.5517241379310345,0.0,5.0,0.0002755343954596,0.3552800342026507,0.0005098395975772,47.0,0.0314591700133868,0.5862068965517241,0.0,6.0,0.0014821654442685,0.3494539781591264,0.0004972003510703,42.0,0.0278145695364238,0.5517241379310345,0.0,6.0,0.0008374436215027,0.3501564945226917,0.0004384027750654,46.0,0.0272511848341232,0.6551724137931034,0.0,6.0,0.0006317534259228,0.3477921062915201,0.0004640738263635,28.0,0.0232172470978441,0.4137931034482758,0.0,6.0,0.0006433973096667,0.3542542558239348,0.0005166583235404
